GSM,425,1,10443,63981,0,34.902534,32.122822,1000,8,1,1459810867,1489774338,0
GSM,425,1,10415,4063,0,34.569992,31.573961,7609,103,1,1459703144,1696480867,0
GSM,425,1,10443,31321,0,34.901701,32.122356,1000,7,1,1459810867,1489774338,0
GSM,425,2,33565,3483,0,35.30116,32.760979,9052,14,1,1459686521,1696567149,0
GSM,425,2,33461,1633,0,35.014559,32.889193,8714,3,1,1459707957,1481803480,0
GSM,425,2,33568,4621,0,35.085066,32.890091,3407,3,1,1459707958,1481640203,0
GSM,425,1,10443,31323,0,34.899063,32.122879,1000,9,1,1459810867,1490196291,0
GSM,425,1,7610,18231,0,35.155698,32.711575,4824,91,1,1254573180,1254573180,0
GSM,425,1,7610,43047,0,35.154495,32.715073,3442,9,1,1343318342,1370259276,0
GSM,425,1,7610,18233,0,35.1514,32.711482,5378,33,1,1254573160,1254573160,0
GSM,425,1,35800,48592,0,35.122875,32.683158,5624,145,1,1254573470,1254573470,0
GSM,425,1,7610,42287,0,35.152417,32.710973,3062,31,1,1254573170,1254573170,0
GSM,425,1,7610,43773,0,35.142785,32.707335,1802,59,1,1254573180,1254573180,0
GSM,425,1,7610,43043,0,35.144069,32.705549,6470,65,1,1254573160,1254573160,0
GSM,425,1,7610,18232,0,35.137992,32.706669,1931,39,1,1254573190,1254573190,0
GSM,425,1,7610,48592,0,35.139084,32.708359,1000,7,1,1254573150,1254573150,0
GSM,425,1,35800,18161,0,35.113814,32.673024,3864,115,1,1254573511,1254573511,0
GSM,425,1,35800,43057,0,35.114832,32.664398,3734,88,1,1254573552,1254573552,0
GSM,425,1,35800,18162,0,35.106725,32.661989,4343,64,1,1254573552,1254573552,0
GSM,425,1,35800,43773,0,35.122604,32.684264,1462,22,1,1254573350,1254573350,0
GSM,425,1,7520,40012,0,35.117772,32.66182,3890,27,1,1254573310,1254573310,0
GSM,425,1,35800,18172,0,35.120632,32.681738,3612,39,1,1254573380,1254573380,0
GSM,425,1,35800,48591,0,35.114285,32.664603,4398,87,1,1254573410,1254573410,0
GSM,425,1,35800,40012,0,35.119308,32.666748,2227,10,1,1254573300,1254573300,0
GSM,425,1,35300,18153,0,35.063994,32.638354,16122,179,1,1254573842,1254573842,0
GSM,425,1,35300,18151,0,35.061175,32.630261,6259,130,1,1254573842,1254573842,0
GSM,425,1,35300,18152,0,35.047537,32.619413,6669,221,1,1254574002,1254574002,0
GSM,425,1,35300,6287,0,35.044046,32.612905,6094,173,1,1254574042,1254574042,0
GSM,425,1,35300,42911,0,35.050404,32.60497,8826,77,1,1254573722,1254573722,0
GSM,425,1,35800,4332,0,35.061787,32.632305,1000,21,1,1254573712,1254573712,0
GSM,425,1,35300,6281,0,35.05153,32.617227,7363,61,1,1254573842,1254573842,0
GSM,425,1,35300,4332,0,35.035828,32.609955,3931,32,1,1254573842,1254573842,0
GSM,425,1,35300,18166,0,35.074733,32.632045,2712,7,1,1254573782,1254573782,0
GSM,425,1,35300,18141,0,35.03212,32.615089,8592,137,1,1254573982,1254573982,0
GSM,425,1,35300,18131,0,34.994971,32.597356,12291,138,1,1254574252,1254574252,0
GSM,425,1,35300,18142,0,35.015124,32.601205,5125,72,1,1254574042,1254574042,0
GSM,425,1,35300,43701,0,34.991596,32.591717,3009,63,1,1254574112,1254574112,0
GSM,425,1,35300,43703,0,34.976049,32.589094,6907,85,1,1254574222,1254574222,0
GSM,425,1,35300,40971,0,34.980768,32.588791,6918,89,1,1254574202,1254574202,0
GSM,425,1,35300,40972,0,34.999466,32.594605,1000,6,1,1254574032,1254574032,0
GSM,425,1,35300,43704,0,34.984991,32.588601,5205,34,1,1254574112,1254574112,0
GSM,425,1,15000,8053,0,34.881641,32.319096,1293,84,1,1254575906,1254575906,0
GSM,425,1,15000,8056,0,34.880639,32.316816,1818,62,1,1254575915,1254575915,0
GSM,425,1,15000,8051,0,34.884667,32.321472,1350,119,1,1254575866,1254575866,0
GSM,425,1,15000,32196,0,34.877867,32.316055,1032,66,1,1254575986,1254575986,0
GSM,425,1,15000,8052,0,34.884302,32.318043,1506,114,1,1254575906,1254575906,0
GSM,425,1,15000,8054,0,34.892644,32.322919,3162,157,1,1254575866,1254575866,0
GSM,425,1,15000,8058,0,34.88104,32.322152,1614,132,1,1254575846,1254575846,0
GSM,425,1,15000,32283,0,34.891077,32.320372,1093,86,1,1254365183,1254365183,0
GSM,425,1,15000,32281,0,34.893036,32.320118,1000,24,1,1254362445,1254362445,0
GSM,425,1,15000,64685,0,34.880585,32.313698,1637,73,1,1254576016,1254576016,0
GSM,425,1,15000,2103,0,34.897218,32.323224,2736,132,1,1254365303,1254365303,0
GSM,425,1,15100,32082,0,34.877845,32.334471,2739,35,1,1254575595,1254575595,0
GSM,425,1,15100,32283,0,34.885483,32.320633,1000,3,1,1254308009,1254308009,0
GSM,425,1,15000,8055,0,34.884026,32.318032,1075,66,1,1254575896,1254575896,0
GSM,425,1,15100,8013,0,34.854666,32.326731,1000,28,1,1254453329,1254453329,0
GSM,425,1,15100,8016,0,34.85495,32.325439,1000,30,1,1254453329,1254453329,0
GSM,425,1,15100,64711,0,34.853843,32.327472,1000,17,1,1254453319,1254453319,0
GSM,425,1,15100,31204,0,34.853439331055,32.32795715332,1000,10,1,1254453329,1254453329,0
GSM,425,1,15100,64715,0,34.853554,32.327843,1000,12,1,1254453329,1254453329,0
GSM,425,1,15100,8015,0,34.854898,32.324524,1153,32,1,1254453309,1254453309,0
GSM,425,1,15100,8026,0,34.853989,32.327271,1000,10,1,1254453259,1254453259,0
