1334,PHI (משרת את הוט ופרטנר),NS3746B,בת חפר,"בת חפר משאבת  מים - שת""פ פלאפון",מ.מקומית בת חפר,עמק חפר,200780,693246,תורן קרקעי,03/11/2022,26/02/2023,08/02/2023,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,http://documents.sviva.gov.il/B001_1_NS3746B_20221103_1325.pdf,http://documents.sviva.gov.il/B002_1_NS3746B_20230226_1036.pdf,דור  2 3 4,35.00607623388869,32.33285189154094
1477,PHI (משרת את הוט ופרטנר),NS6506D,כפר יונה,דרום כפר יונה,מ.מקומית כפר יונה,כפר יונה,193103,690473,תורן קרקעי,18/10/2021,22/11/2022,25/09/2022,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום.,http://documents.sviva.gov.il/B001_1_NS6506D_20211018_1349.pdf,http://documents.sviva.gov.il/B002_1_NS6506D_20221122_1507.pdf,דור  2 3 4 5,34.924614968763294,32.307691772595525
1578,PHI (משרת את הוט ופרטנר),NS0210A,עמק חפר,צומת בית ליד צמוד לאתר סלקום,מ.א עמק חפר,עמק חפר,191147,692301,תורן קרקעי,09/06/2014,02/02/2020,19/10/2022,יש היתר,4,0,ליד שיח במרחק 16 מטר,http://documents.sviva.gov.il/B001_1_NS0210A_20140609_1029.pdf,http://documents.sviva.gov.il/B002_1_NS0210A_20200202_0743.pdf,דור  2 3 4,34.9037914792007,32.32412805617914
1724,PHI (משרת את הוט ופרטנר),NS3423B,צורן,ליד צורן,מ.מקומית צורן,לב השרון,195503,688670,תורן קרקעי,03/11/2022,15/12/2022,08/11/2022,יש היתר,19,3,בהנירים 17 במרחק 102 מטר,http://documents.sviva.gov.il/B001_1_NS3423B_20221103_1325.pdf,http://documents.sviva.gov.il/B002_1_NS3423B_20221215_1332.pdf,דור  2 3 4,34.950143924865856,32.29148698974152
1730,PHI (משרת את הוט ופרטנר),NS4092B,כפר יונה,אחי אילת,מ.מקומית כפר יונה,כפר יונה,194292,691435,מתקן גישה אלחוטי,28/12/2017,27/11/2022,09/11/2022,יש היתר,60,7,רמה זו צפויה במרפסת שכן - קומה 4 במרחק 6.5 מטר,http://documents.sviva.gov.il/B001_1_NS4092B_20171228_1013.pdf,http://documents.sviva.gov.il/B002_1_NS4092B_20221127_1919.pdf,דור  3 4,34.937214478676964,32.31639400907762
1746,PHI (משרת את הוט ופרטנר),NS3001A,טייבה-במשולש,בזק טייבה,עירית טייבה במשולש,טייבה,200271,685427,מתקן גישה אלחוטי,01/08/2022,05/12/2022,13/11/2022,יש היתר,68,8,במבנה מגורים - מרפסת גג במרחק 23 מטר,http://documents.sviva.gov.il/B001_1_NS3001A_20220801_1628.pdf,http://documents.sviva.gov.il/B002_1_NS3001A_20221205_1023.pdf,דור  3 4,35.00082773608256,32.26233455686614
1965,PHI (משרת את הוט ופרטנר),NS0810C,כפר יונה,קניון-שרת 6,מ.מקומית כפר יונה,כפר יונה,194019,691623,תורן על הגג,15/07/2020,13/10/2020,18/07/2023,יש היתר,33,4,רמה זו צפויה בשרת 9 במרחק 67 מטר,http://documents.sviva.gov.il/B001_1_NS0810C_20200715_1113.pdf,http://documents.sviva.gov.il/B002_1_NS0810C_20201013_0803.pdf,דור  2 3 4 5,34.93431041673342,32.31808313651676
2110,PHI (משרת את הוט ופרטנר),NS3847C,קלנסווה,קלנסווה מערב,מ.מקומית קלנסווה,קלנסווה,197140,688384,מתקן גישה אלחוטי,15/12/2020,26/08/2021,30/07/2023,יש היתר,32,5,בבתוך הפיר במרחק 2 מטר,http://documents.sviva.gov.il/B001_1_NS3847C_20201215_0902.pdf,http://documents.sviva.gov.il/B002_1_NS3847C_20210826_1542.pdf,דור  3 4,34.967529476788826,32.28894175480876
2235,PHI (משרת את הוט ופרטנר),NS6505D,קדימה,תורן הוט קדימה,מ.מקומית קדימה,צורן קדימה,192960,687754,תורן קרקעי,20/10/2021,10/11/2021,02/08/2023,יש היתר,2,0,בחממות גידול ירקות במרחק 48.9 מטר,http://documents.sviva.gov.il/B001_1_NS6505D_20211020_1314.pdf,http://documents.sviva.gov.il/B002_1_NS6505D_20211110_0650.pdf,דור  2 3 4,34.9231722882645,32.283169639279244
2239,PHI (משרת את הוט ופרטנר),NS0828B,צור משה,צור משה מזרח תורן עונים בירוק,מ.א לב השרון,לב השרון,193321,689730,תורן קרקעי,29/03/2022,15/11/2022,02/08/2023,יש היתר,1,0,במחסן חד קומתי במרחק 47 מטר,http://documents.sviva.gov.il/B001_1_NS0828B_20220329_1523.pdf,http://documents.sviva.gov.il/B002_1_NS0828B_20221115_1042.pdf,דור  2 3 4,34.926950139149604,32.30099683865029
